team,played,win,draw,lose,goal_for,goal_against,goal_diff,cs,league_points,league_rank
Liverpool,38,32,3,3,85,33,52,15,99,1
Man City,38,26,3,9,102,35,67,17,81,2
Man Utd,38,18,12,8,66,36,30,13,66,3
Chelsea,38,20,6,12,69,54,15,9,66,4
Leicester,38,18,8,12,67,41,26,13,62,5
Tottenham,38,16,11,11,61,47,14,8,59,6
Wolves,38,15,14,9,51,40,11,13,59,7
Arsenal,38,14,14,10,56,48,8,10,56,8
Sheffield United,38,14,12,12,39,39,0,13,54,9
Burnley,38,15,9,14,43,50,−7,15,54,10
Southampton,38,15,7,16,51,60,−9,9,52,11
Everton,38,13,10,15,44,56,−12,9,49,12
Newcastle United,38,11,11,16,38,58,−20,11,44,13
Crystal Palace,38,11,10,17,31,50,−19,10,43,14
Brighton,38,9,14,15,39,54,−15,9,41,15
West Ham,38,10,9,19,49,62,−13,7,39,16
Aston Villa,38,9,8,21,41,67,−26,7,35,17
Bournemouth,38,9,7,22,40,65,−25,5,34,18
Watford,38,8,10,20,36,64,−28,9,34,19
Norwich,38,5,6,27,26,75,−49,5,21,20
