full,value
Aaron Connolly,4.5
Aaron Cresswell,5.0
Aaron Lennon,5.0
Aaron Mooy,5.0
Aaron Ramsdale,4.5
Aaron Wan-Bissaka,5.5
Abd-Al-Ali Morakinyo Olaposi Koiki,4.0
Abdoulaye Doucour?,6.0
Adalberto Pe?aranda,4.5
Adam Idah,4.5
Adam Lallana,6.0
Adam Masina,4.5
Adam Smith,4.5
Adam Webster,4.5
Adama Traor?,5.0
Addji Keaninkin Marc-Israel Guehi,4.0
Ademola Lookman,5.0
Adrian Mariappa,4.5
Adri?n San Miguel del Castillo,4.5
Ahmed El Mohamady,4.5
Ainsley Maitland-Niles,5.0
Akin Famewo,4.0
Albian Ajeti,6.0
Alex Cochrane,4.0
Alex Iwobi,6.0
Alex McCarthy,4.5
Alex Oxlade-Chamberlain,6.5
Alexander Tettey,4.5
Alexandre Nascimento Costa Silva,4.5
Alexandre Jankewitz,4.5
Alexandre Lacazette,9.5
Alexis Mac Allister,5.5
Alexis S?nchez,7.0
Alfie Lewis,4.5
Alfie Whiteman,4.0
Alireza Jahanbakhsh,6.0
Alisson Ramses Becker,6.0
Allan Saint-Maximin,5.5
Andre Gray,6.0
Andre Green,5.0
Andreas Christensen,5.0
Andreas Pereira,5.0
Andrew Robertson,7.0
Andrew Surman,5.0
Andriy Yarmolenko,6.0
Andros Townsend,6.0
Andr? Filipe Tavares Gomes,5.5
Andy Carroll,5.5
Andy King,4.5
Andy Lonergan,4.5
Angel Gomes,5.0
Angelo Ogbonna,4.5
Angus Gunn,4.5
Anthony Driscoll-Glennon,4.0
Anthony Gordon,4.5
Anthony Knockaert,5.5
Anthony Martial,7.5
Antonio R?diger,6.0
Anwar El Ghazi,5.5
Archie Mair,4.0
Armando Broja,4.5
Arnaut Danjuma Groeneveld,6.0
Arthur Masuaku,4.5
Artur Boruc,4.5
Ashley Barnes,6.5
Ashley Westwood,5.5
Ashley Young,5.5
Asmir Begovic,4.5
Axel Tuanzebe,4.5
Aymeric Laporte,6.5
Ayotomiwa Dele-Bashiru,4.5
Ayoze P?rez,6.5
Bailey Peacock-Farrell,4.5
Bamidele Alli,8.5
Ben Davies,5.5
Ben Foster,5.0
Ben Gibson,4.0
Ben Godfrey,4.5
Ben Johnson,4.0
Ben Mee,5.0
Ben Osborn,5.0
Beni Baningime,4.5
Benjamin Chilwell,5.5
Benjamin Mendy,6.0
Beram Kayal,4.5
Bernard An?cio Caldeira Duarte,6.5
Bernard Ashley-Seal,4.5
Bernardo Mota Veiga de Carvalho e Silva,8.0
Bernardo Costa Da Rosa,4.5
Bernardo Fernandes da Silva Junior,4.5
Bernd Leno,5.0
Billy Gilmour,4.5
Billy Sharp,6.0
Birkir Bjarnason,4.5
Bjorn Engels,4.5
Bobby Thomas,4.0
Borja Gonz?lez Tom?s,5.5
Brandon Austin,4.0
Brandon Pierrick,4.5
Brandon Williams,4.0
Bruno Andr? Cavaco Jordao,4.5
Bruno Miguel Borges Fernandes,8.0
Bukayo Saka,4.5
Callum Hudson-Odoi,6.0
Callum Robinson,5.5
Callum Slattery,4.5
Callum Wilson,8.0
Calum Chambers,4.5
