full,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,ppm,team_rank
Pierre-Emerick Aubameyang,Arsenal,5,37,807,10,479.59999999999997,418,7162,44,22,285.2,1006.0000000000001,3136,0,0,0,1,743,0,61570003,44,60,1369,205,-164037,3998590,4162627,415.4,19.0,3,18.741506341523493,1.0
Alexandre Lacazette,Arsenal,7,16,387,5,337.70000000000005,456,7162,25,10,173.80000000000004,536.4,1867,0,0,0,0,743,0,5741797,44,60,861,118,-53197,501866,555063,354.00000000000006,19.0,8,12.691592757968444,2.0
Bernd Leno,Arsenal,0,10,591,7,0.0,532,7162,39,0,84.10000000000002,843.2000000000002,2649,0,0,1,0,743,113,15348044,44,60,0,114,60375,972356,911981,188.60000000000008,19.0,2,22.799999999999997,3.0
Nicolas P?p?,Arsenal,6,9,353,5,639.4,18544,7162,30,5,176.5,500.2,2004,0,0,0,0,743,0,8827581,44,60,624,106,-143349,744342,887691,349.2999999999999,19.0,4,11.529261606175197,4.0
David Luiz Moreira Marinho,Arsenal,1,10,494,8,106.69999999999996,4028,7162,42,2,102.09999999999997,701.5999999999999,2809,0,0,0,2,743,0,14968203,44,60,211,94,-264277,412404,676681,219.19999999999982,19.0,5,16.37084602212721,5.0
Granit Xhaka,Arsenal,2,2,408,10,298.50000000000006,684,7162,31,1,89.90000000000002,486.20000000000005,2586,0,0,0,0,743,0,2069256,44,60,110,73,-44169,99512,143681,197.09999999999988,19.0,10,14.126312212882688,6.0
Bukayo Saka,Arsenal,6,4,259,7,322.50000000000006,18394,7086,18,1,89.80000000000001,327.19999999999993,1746,0,0,0,0,733,0,5631041,39,53,248,71,384272,1015895,631623,155.09999999999994,17.0,6,15.498509610443003,7.0
Daniel Ceballos Fern?ndez,Arsenal,2,3,310,7,439.9,17822,7162,21,0,91.70000000000002,346.40000000000003,1687,0,0,0,0,743,0,13468746,44,60,130,57,-127860,1046222,1174082,202.39999999999984,19.0,1,10.640056824267353,8.0
Sokratis Papastathopoulos,Arsenal,0,5,305,4,36.8,190,7162,25,2,58.5,436.19999999999993,1696,0,0,0,0,743,0,4296021,44,60,110,57,-32673,208103,240776,186.6000000000002,19.0,6,11.527380952380957,8.0
Sead Kolasinac,Arsenal,2,1,331,4,182.49999999999994,114,7162,26,0,53.000000000000014,269.6,1694,0,0,0,0,743,0,1785175,44,60,81,55,-65531,69908,135439,200.49999999999986,19.0,4,10.427343097154408,10.0
Mesut ?zil,Arsenal,3,1,256,5,582.9000000000001,570,7162,20,1,99.8,223.6,1439,0,0,0,0,743,0,2843671,44,60,190,53,-16932,311942,328874,273.4999999999999,19.0,1,7.357305936073059,11.0
Matteo Guendouzi,Arsenal,2,2,272,3,235.10000000000005,798,7162,31,0,71.59999999999998,333.6,1744,0,0,0,0,743,0,20985759,44,60,146,48,227724,1498737,1271013,167.99999999999991,19.0,6,10.648201863990435,12.0
Lucas Torreira,Arsenal,1,0,247,3,207.09999999999994,722,7162,23,1,69.70000000000002,281.79999999999995,1501,0,0,0,0,743,0,3487680,44,60,207,46,-73820,106103,179923,180.7999999999999,19.0,7,9.647912143580841,13.0
H?ctor Beller?n,Arsenal,0,4,204,4,76.89999999999999,76,7162,18,1,37.0,187.8,1156,0,0,0,0,743,0,1559709,44,60,103,44,70865,244464,173599,205.2000000000001,19.0,2,8.13169430150562,14.0
Shkodran Mustafi,Arsenal,2,2,242,4,45.50000000000001,38,7162,17,0,47.89999999999999,277.20000000000005,1205,0,0,0,0,743,0,1013971,44,60,155,43,-20490,27658,48148,197.59999999999994,19.0,2,8.401206636500742,15.0
Calum Chambers,Arsenal,1,5,197,3,113.5,17746,7162,15,1,58.699999999999996,272.0,1102,0,0,0,0,743,0,2597446,44,60,203,42,-33101,140723,173824,166.60000000000014,19.0,5,9.515151515151512,16.0
Kieran Tierney,Arsenal,2,4,213,2,121.1,19570,7162,16,1,39.800000000000004,201.8,986,0,0,0,0,743,0,1628632,44,60,73,42,32951,166379,133428,203.8000000000002,19.0,2,7.907058001397624,16.0
Ainsley Maitland-Niles,Arsenal,2,3,244,3,182.00000000000003,152,7162,22,0,53.599999999999994,301.79999999999995,1382,0,0,0,1,743,0,8729168,44,60,58,41,-33514,623627,657141,178.69999999999993,19.0,4,8.63370275646491,18.0
Joseph Willock,Arsenal,1,0,150,1,165.90000000000003,18620,7162,16,1,55.20000000000001,176.8,838,0,0,0,0,743,0,567065,44,60,212,41,-3534,33259,36793,183.79999999999987,19.0,2,8.500195397307857,18.0
Gabriel Teodoro Martinelli Silva,Arsenal,1,5,129,2,36.60000000000001,19152,7162,9,3,42.5,162.8,656,0,0,0,0,743,0,5437358,44,60,226,39,103135,642089,538954,169.60000000000005,19.0,1,8.65700483091788,20.0
Emiliano Mart?nez,Arsenal,0,1,169,3,0.0,16226,7162,9,0,25.800000000000004,256.8,770,0,0,0,0,743,34,2126922,44,60,0,33,255167,314724,59557,165.3,19.0,2,7.718967079432187,21.0
Reiss Nelson,Arsenal,1,0,105,2,148.3,18582,7162,7,1,44.4,110.4,622,0,0,0,0,743,0,313547,44,60,185,30,-4847,16434,21281,202.5000000000001,19.0,1,5.632806047900386,22.0
Edward Nketiah,Arsenal,0,1,66,3,67.0,494,7162,9,2,36.4,90.4,628,0,0,0,1,743,0,2944113,44,60,210,25,30331,392937,362606,165.4,19.0,0,5.761099365750529,23.0
C?dric Soares,Arsenal,0,0,64,1,21.8,7290,4552,2,1,9.0,57.800000000000004,247,0,0,0,0,467,0,282140,14,28,11,18,12004,24078,18074,71.99999999999999,7.0,0,3.7499999999999973,24.0
Rob Holding,Arsenal,0,2,96,1,4.8,380,7162,9,0,15.8,133.6,580,0,0,0,0,743,0,358161,44,60,19,16,6422,29413,22991,170.00000000000006,19.0,1,3.626262626262628,25.0
Nacho Monreal,Arsenal,0,1,54,1,40.800000000000004,228,7162,4,0,10.0,47.2,270,0,0,0,0,743,0,970940,44,60,12,10,-61040,28280,89320,190.0,19.0,0,1.9999999999999998,26.0
Pablo Mar?,Arsenal,0,1,31,1,1.7000000000000002,8638,4314,0,0,3.0,27.8,113,0,0,0,0,443,0,50007,12,26,0,8,3025,18079,15054,65.3,7.0,0,1.6666666666666632,27.0
Emile Smith Rowe,Arsenal,0,0,13,1,6.3,12672,5896,0,0,1.6,9.8,96,0,0,0,0,607,0,37242,22,34,0,4,836,5199,4363,95.79999999999995,11.0,0,0.888888888888889,28.0
Henrikh Mkhitaryan,Arsenal,0,0,3,1,33.9,608,7162,0,0,8.6,5.3999999999999995,110,0,0,0,0,743,0,2469890,44,60,46,4,-94192,23285,117477,258.2,19.0,1,0.5734989648033131,28.0
Jack Grealish,Aston Villa,7,19,601,7,1209.1999999999996,1102,7162,63,8,286.99999999999994,826.5999999999999,3233,0,1,0,0,743,0,36104815,49,59,837,149,1434129,4031826,2597697,233.8,19.0,8,24.336891677156988,1.0
Mahmoud Ahmed Ibrahim Hassan,Aston Villa,2,7,270,6,303.70000000000005,17670,7162,29,6,145.7,422.4,1936,0,0,0,1,743,0,3688365,49,59,741,98,-76966,230550,307516,199.29999999999987,19.0,2,18.775295284729253,2.0
Anwar El Ghazi,Aston Villa,5,0,281,5,482.2000000000001,1140,7162,48,4,151.99999999999997,383.2,2046,0,0,0,0,743,0,2705859,49,59,655,93,51658,357154,305496,207.50000000000003,19.0,3,16.957252740271603,3.0
Douglas Luiz Soares de Paulo,Aston Villa,2,5,411,8,293.19999999999993,17860,7162,51,3,118.0,508.6000000000001,2604,0,0,0,0,743,0,10293786,49,59,377,90,253210,1047773,794563,168.70000000000016,19.0,8,20.30650795109844,4.0
Tyrone Mings,Aston Villa,2,9,537,6,87.29999999999995,16910,7162,53,2,96.60000000000001,758.0000000000001,2902,0,0,0,0,743,0,10288647,49,59,119,90,138178,718035,579857,170.90000000000006,19.0,7,20.079929732103654,4.0
John McGinn,Aston Villa,3,4,321,6,503.3,1178,7162,41,3,145.89999999999998,458.59999999999997,2312,0,0,0,0,743,0,16105169,49,59,499,84,49096,1552707,1503611,211.30000000000007,19.0,3,15.069240542053441,6.0
Conor Hourihane,Aston Villa,5,9,328,6,551.8,1064,7162,29,3,125.3,384.79999999999995,1526,0,0,0,0,743,0,430450,49,59,317,83,-8987,23077,32064,217.59999999999988,19.0,4,14.540834845735018,7.0
Matt Targett,Aston Villa,3,10,433,5,432.90000000000003,11742,7162,40,1,106.89999999999999,503.8000000000001,2291,0,0,0,0,743,0,3053780,49,59,130,80,132307,509369,377062,166.80000000000015,19.0,4,18.234672304439737,8.0
Wesley Moraes,Aston Villa,1,7,180,6,169.79999999999998,16264,7162,31,5,108.30000000000001,296.2,1782,0,1,0,0,743,0,3893761,49,59,632,67,-35590,404488,440078,216.90000000000006,19.0,3,11.300151865709243,9.0
Ezri Konsa Ngoyo,Aston Villa,2,4,335,5,151.8,17176,7162,39,1,72.8,400.59999999999997,2038,0,0,0,0,743,0,246138,49,59,173,65,7240,18397,11157,164.60000000000002,19.0,3,15.110993657505274,10.0
