full,team,total_points,value
Pierre-Emerick Aubameyang,Arsenal,205,11.0
Alexandre Lacazette,Arsenal,118,9.5
Bernd Leno,Arsenal,114,5.0
Nicolas P?p?,Arsenal,106,9.5
David Luiz Moreira Marinho,Arsenal,94,6.0
Granit Xhaka,Arsenal,73,5.5
Bukayo Saka,Arsenal,71,4.5
Daniel Ceballos Fern?ndez,Arsenal,57,5.5
Sokratis Papastathopoulos,Arsenal,57,5.0
Sead Kolasinac,Arsenal,55,5.5
Mesut ?zil,Arsenal,53,7.5
Matteo Guendouzi,Arsenal,48,4.5
Lucas Torreira,Arsenal,46,5.0
H?ctor Beller?n,Arsenal,44,5.5
Shkodran Mustafi,Arsenal,43,5.5
Calum Chambers,Arsenal,42,4.5
Kieran Tierney,Arsenal,42,5.5
Ainsley Maitland-Niles,Arsenal,41,5.0
Joseph Willock,Arsenal,41,5.0
Gabriel Teodoro Martinelli Silva,Arsenal,39,4.5
Emiliano Mart?nez,Arsenal,33,4.5
Reiss Nelson,Arsenal,30,5.5
Edward Nketiah,Arsenal,25,4.5
C?dric Soares,Arsenal,18,5.0
C?dric Soares,Southampton,43,5.0
Rob Holding,Arsenal,16,4.5
Nacho Monreal,Arsenal,10,5.0
Pablo Mar?,Arsenal,8,5.0
Emile Smith Rowe,Arsenal,4,4.5
Henrikh Mkhitaryan,Arsenal,4,7.0
Jack Grealish,Aston Villa,149,6.0
Mahmoud Ahmed Ibrahim Hassan,Aston Villa,98,5.5
Anwar El Ghazi,Aston Villa,93,5.5
Douglas Luiz Soares de Paulo,Aston Villa,90,4.5
Tyrone Mings,Aston Villa,90,4.5
John McGinn,Aston Villa,84,5.5
Conor Hourihane,Aston Villa,83,6.0
Matt Targett,Aston Villa,80,4.5
Wesley Moraes,Aston Villa,67,6.0
Ezri Konsa Ngoyo,Aston Villa,65,4.5
Fr?d?ric Guilbert,Aston Villa,62,4.5
Tom Heaton,Aston Villa,59,4.5
Marvelous Nakamba,Aston Villa,43,4.5
